area_code,date,stage,window_start,window_end,shed_hrs
10,2024-01-02,2,2024-01-02 02:30:00,2024-01-02 05:00:00,2.5
11,2024-01-02,2,2024-01-02 05:00:00,2024-01-02 07:30:00,2.5
12,2024-01-02,2,2024-01-02 07:30:00,2024-01-02 10:00:00,2.5
13,2024-01-02,2,2024-01-02 10:00:00,2024-01-02 12:30:00,2.5
14,2024-01-02,2,2024-01-02 12:30:00,2024-01-02 15:00:00,2.5
15,2024-01-02,2,2024-01-02 15:00:00,2024-01-02 17:30:00,2.5
16,2024-01-02,2,2024-01-02 17:30:00,2024-01-02 20:00:00,2.5
17,2024-01-02,2,2024-01-02 00:00:00,2024-01-02 02:30:00,2.5
18,2024-01-02,2,2024-01-02 02:30:00,2024-01-02 05:00:00,2.5
19,2024-01-02,2,2024-01-02 05:00:00,2024-01-02 07:30:00,2.5
20,2024-01-02,2,2024-01-02 07:30:00,2024-01-02 10:00:00,2.5
21,2024-01-02,2,2024-01-02 10:00:00,2024-01-02 12:30:00,2.5
22,2024-01-02,2,2024-01-02 12:30:00,2024-01-02 15:00:00,2.5
23,2024-01-02,2,2024-01-02 15:00:00,2024-01-02 17:30:00,2.5
24,2024-01-02,2,2024-01-02 17:30:00,2024-01-02 20:00:00,2.5
25,2024-01-02,2,2024-01-02 00:00:00,2024-01-02 02:30:00,2.5
26,2024-01-02,2,2024-01-02 02:30:00,2024-01-02 05:00:00,2.5
27,2024-01-02,2,2024-01-02 05:00:00,2024-01-02 07:30:00,2.5
28,2024-01-02,2,2024-01-02 07:30:00,2024-01-02 10:00:00,2.5
29,2024-01-02,2,2024-01-02 10:00:00,2024-01-02 12:30:00,2.5
30,2024-01-02,2,2024-01-02 12:30:00,2024-01-02 15:00:00,2.5
31,2024-01-02,2,2024-01-02 15:00:00,2024-01-02 17:30:00,2.5
32,2024-01-02,2,2024-01-02 17:30:00,2024-01-02 20:00:00,2.5
1,2024-01-03,1,2024-01-03 00:00:00,2024-01-03 02:30:00,2.5
2,2024-01-03,1,2024-01-03 02:30:00,2024-01-03 05:00:00,2.5
3,2024-01-03,1,2024-01-03 05:00:00,2024-01-03 07:30:00,2.5
4,2024-01-03,1,2024-01-03 07:30:00,2024-01-03 10:00:00,2.5
5,2024-01-03,1,2024-01-03 10:00:00,2024-01-03 12:30:00,2.5
6,2024-01-03,1,2024-01-03 12:30:00,2024-01-03 15:00:00,2.5
7,2024-01-03,1,2024-01-03 15:00:00,2024-01-03 17:30:00,2.5
8,2024-01-03,1,2024-01-03 17:30:00,2024-01-03 20:00:00,2.5
9,2024-01-03,1,2024-01-03 00:00:00,2024-01-03 02:30:00,2.5
10,2024-01-03,1,2024-01-03 02:30:00,2024-01-03 05:00:00,2.5
11,2024-01-03,1,2024-01-03 05:00:00,2024-01-03 07:30:00,2.5
12,2024-01-03,1,2024-01-03 07:30:00,2024-01-03 10:00:00,2.5
13,2024-01-03,1,2024-01-03 10:00:00,2024-01-03 12:30:00,2.5
14,2024-01-03,1,2024-01-03 12:30:00,2024-01-03 15:00:00,2.5
15,2024-01-03,1,2024-01-03 15:00:00,2024-01-03 17:30:00,2.5
16,2024-01-03,1,2024-01-03 17:30:00,2024-01-03 20:00:00,2.5
17,2024-01-03,1,2024-01-03 00:00:00,2024-01-03 02:30:00,2.5
18,2024-01-03,1,2024-01-03 02:30:00,2024-01-03 05:00:00,2.5
19,2024-01-03,1,2024-01-03 05:00:00,2024-01-03 07:30:00,2.5
20,2024-01-03,1,2024-01-03 07:30:00,2024-01-03 10:00:00,2.5
21,2024-01-03,1,2024-01-03 10:00:00,2024-01-03 12:30:00,2.5
22,2024-01-03,1,2024-01-03 12:30:00,2024-01-03 15:00:00,2.5
23,2024-01-03,1,2024-01-03 15:00:00,2024-01-03 17:30:00,2.5
24,2024-01-03,1,2024-01-03 17:30:00,2024-01-03 20:00:00,2.5
25,2024-01-03,1,2024-01-03 00:00:00,2024-01-03 02:30:00,2.5
26,2024-01-03,1,2024-01-03 02:30:00,2024-01-03 05:00:00,2.5
27,2024-01-03,1,2024-01-03 05:00:00,2024-01-03 07:30:00,2.5
28,2024-01-03,1,2024-01-03 07:30:00,2024-01-03 10:00:00,2.5
29,2024-01-03,1,2024-01-03 10:00:00,2024-01-03 12:30:00,2.5
30,2024-01-03,1,2024-01-03 12:30:00,2024-01-03 15:00:00,2.5
31,2024-01-03,1,2024-01-03 15:00:00,2024-01-03 17:30:00,2.5
32,2024-01-03,1,2024-01-03 17:30:00,2024-01-03 20:00:00,2.5
1,2024-01-04,2,2024-01-04 00:00:00,2024-01-04 02:30:00,2.5
2,2024-01-04,2,2024-01-04 02:30:00,2024-01-04 05:00:00,2.5
3,2024-01-04,2,2024-01-04 05:00:00,2024-01-04 07:30:00,2.5
4,2024-01-04,2,2024-01-04 07:30:00,2024-01-04 10:00:00,2.5
5,2024-01-04,2,2024-01-04 10:00:00,2024-01-04 12:30:00,2.5
6,2024-01-04,2,2024-01-04 12:30:00,2024-01-04 15:00:00,2.5
7,2024-01-04,2,2024-01-04 15:00:00,2024-01-04 17:30:00,2.5
8,2024-01-04,2,2024-01-04 17:30:00,2024-01-04 20:00:00,2.5
9,2024-01-04,2,2024-01-04 00:00:00,2024-01-04 02:30:00,2.5
10,2024-01-04,2,2024-01-04 02:30:00,2024-01-04 05:00:00,2.5
11,2024-01-04,2,2024-01-04 05:00:00,2024-01-04 07:30:00,2.5
12,2024-01-04,2,2024-01-04 07:30:00,2024-01-04 10:00:00,2.5
13,2024-01-04,2,2024-01-04 10:00:00,2024-01-04 12:30:00,2.5
14,2024-01-04,2,2024-01-04 12:30:00,2024-01-04 15:00:00,2.5
15,2024-01-04,2,2024-01-04 15:00:00,2024-01-04 17:30:00,2.5
16,2024-01-04,2,2024-01-04 17:30:00,2024-01-04 20:00:00,2.5
17,2024-01-04,2,2024-01-04 00:00:00,2024-01-04 02:30:00,2.5
18,2024-01-04,2,2024-01-04 02:30:00,2024-01-04 05:00:00,2.5
19,2024-01-04,2,2024-01-04 05:00:00,2024-01-04 07:30:00,2.5
20,2024-01-04,2,2024-01-04 07:30:00,2024-01-04 10:00:00,2.5
21,2024-01-04,2,2024-01-04 10:00:00,2024-01-04 12:30:00,2.5
22,2024-01-04,2,2024-01-04 12:30:00,2024-01-04 15:00:00,2.5
23,2024-01-04,2,2024-01-04 15:00:00,2024-01-04 17:30:00,2.5
24,2024-01-04,2,2024-01-04 17:30:00,2024-01-04 20:00:00,2.5
25,2024-01-04,2,2024-01-04 00:00:00,2024-01-04 02:30:00,2.5
26,2024-01-04,2,2024-01-04 02:30:00,2024-01-04 05:00:00,2.5
27,2024-01-04,2,2024-01-04 05:00:00,2024-01-04 07:30:00,2.5
28,2024-01-04,2,2024-01-04 07:30:00,2024-01-04 10:00:00,2.5
29,2024-01-04,2,2024-01-04 10:00:00,2024-01-04 12:30:00,2.5
30,2024-01-04,2,2024-01-04 12:30:00,2024-01-04 15:00:00,2.5
31,2024-01-04,2,2024-01-04 15:00:00,2024-01-04 17:30:00,2.5
32,2024-01-04,2,2024-01-04 17:30:00,2024-01-04 20:00:00,2.5
1,2024-01-05,2,2024-01-05 00:00:00,2024-01-05 02:30:00,2.5
2,2024-01-05,2,2024-01-05 02:30:00,2024-01-05 05:00:00,2.5
3,2024-01-05,2,2024-01-05 05:00:00,2024-01-05 07:30:00,2.5
4,2024-01-05,2,2024-01-05 07:30:00,2024-01-05 10:00:00,2.5
5,2024-01-05,2,2024-01-05 10:00:00,2024-01-05 12:30:00,2.5
6,2024-01-05,2,2024-01-05 12:30:00,2024-01-05 15:00:00,2.5
7,2024-01-05,2,2024-01-05 15:00:00,2024-01-05 17:30:00,2.5
8,2024-01-05,2,2024-01-05 17:30:00,2024-01-05 20:00:00,2.5
9,2024-01-05,2,2024-01-05 00:00:00,2024-01-05 02:30:00,2.5
10,2024-01-05,2,2024-01-05 02:30:00,2024-01-05 05:00:00,2.5
11,2024-01-05,2,2024-01-05 05:00:00,2024-01-05 07:30:00,2.5
12,2024-01-05,2,2024-01-05 07:30:00,2024-01-05 10:00:00,2.5
13,2024-01-05,2,2024-01-05 10:00:00,2024-01-05 12:30:00,2.5
14,2024-01-05,2,2024-01-05 12:30:00,2024-01-05 15:00:00,2.5
15,2024-01-05,2,2024-01-05 15:00:00,2024-01-05 17:30:00,2.5
16,2024-01-05,2,2024-01-05 17:30:00,2024-01-05 20:00:00,2.5
17,2024-01-05,2,2024-01-05 00:00:00,2024-01-05 02:30:00,2.5
18,2024-01-05,2,2024-01-05 02:30:00,2024-01-05 05:00:00,2.5
19,2024-01-05,2,2024-01-05 05:00:00,2024-01-05 07:30:00,2.5
20,2024-01-05,2,2024-01-05 07:30:00,2024-01-05 10:00:00,2.5
21,2024-01-05,2,2024-01-05 10:00:00,2024-01-05 12:30:00,2.5
22,2024-01-05,2,2024-01-05 12:30:00,2024-01-05 15:00:00,2.5
23,2024-01-05,2,2024-01-05 15:00:00,2024-01-05 17:30:00,2.5
24,2024-01-05,2,2024-01-05 17:30:00,2024-01-05 20:00:00,2.5
25,2024-01-05,2,2024-01-05 00:00:00,2024-01-05 02:30:00,2.5
26,2024-01-05,2,2024-01-05 02:30:00,2024-01-05 05:00:00,2.5
27,2024-01-05,2,2024-01-05 05:00:00,2024-01-05 07:30:00,2.5
28,2024-01-05,2,2024-01-05 07:30:00,2024-01-05 10:00:00,2.5
29,2024-01-05,2,2024-01-05 10:00:00,2024-01-05 12:30:00,2.5
30,2024-01-05,2,2024-01-05 12:30:00,2024-01-05 15:00:00,2.5
31,2024-01-05,2,2024-01-05 15:00:00,2024-01-05 17:30:00,2.5
32,2024-01-05,2,2024-01-05 17:30:00,2024-01-05 20:00:00,2.5
1,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
1,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
2,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
2,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
3,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
3,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
4,2024-01-06,3,2024-01-06 07:30:00,2024-01-06 10:00:00,2.5
4,2024-01-06,3,2024-01-06 20:00:00,2024-01-06 22:30:00,2.5
5,2024-01-06,3,2024-01-06 10:00:00,2024-01-06 12:30:00,2.5
5,2024-01-06,3,2024-01-06 22:30:00,2024-01-06 23:59:59,1.5
6,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
6,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
7,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
7,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
8,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
8,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
9,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
9,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
10,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
10,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
11,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
11,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
12,2024-01-06,3,2024-01-06 07:30:00,2024-01-06 10:00:00,2.5
12,2024-01-06,3,2024-01-06 20:00:00,2024-01-06 22:30:00,2.5
13,2024-01-06,3,2024-01-06 10:00:00,2024-01-06 12:30:00,2.5
13,2024-01-06,3,2024-01-06 22:30:00,2024-01-06 23:59:59,1.5
14,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
14,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
15,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
15,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
16,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
16,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
17,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
17,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
18,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
18,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
19,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
19,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
20,2024-01-06,3,2024-01-06 07:30:00,2024-01-06 10:00:00,2.5
20,2024-01-06,3,2024-01-06 20:00:00,2024-01-06 22:30:00,2.5
21,2024-01-06,3,2024-01-06 10:00:00,2024-01-06 12:30:00,2.5
21,2024-01-06,3,2024-01-06 22:30:00,2024-01-06 23:59:59,1.5
22,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
22,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
23,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
23,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
24,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
24,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
25,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
25,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
26,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
26,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
27,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
27,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
28,2024-01-06,3,2024-01-06 07:30:00,2024-01-06 10:00:00,2.5
28,2024-01-06,3,2024-01-06 20:00:00,2024-01-06 22:30:00,2.5
29,2024-01-06,3,2024-01-06 10:00:00,2024-01-06 12:30:00,2.5
29,2024-01-06,3,2024-01-06 22:30:00,2024-01-06 23:59:59,1.5
30,2024-01-06,3,2024-01-06 12:30:00,2024-01-06 15:00:00,2.5
30,2024-01-06,3,2024-01-06 00:00:00,2024-01-06 02:30:00,2.5
31,2024-01-06,3,2024-01-06 15:00:00,2024-01-06 17:30:00,2.5
31,2024-01-06,3,2024-01-06 02:30:00,2024-01-06 05:00:00,2.5
32,2024-01-06,3,2024-01-06 17:30:00,2024-01-06 20:00:00,2.5
32,2024-01-06,3,2024-01-06 05:00:00,2024-01-06 07:30:00,2.5
1,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
1,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
2,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
2,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
3,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
3,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
4,2024-01-07,4,2024-01-07 07:30:00,2024-01-07 10:00:00,2.5
4,2024-01-07,4,2024-01-07 20:00:00,2024-01-07 22:30:00,2.5
5,2024-01-07,4,2024-01-07 10:00:00,2024-01-07 12:30:00,2.5
5,2024-01-07,4,2024-01-07 22:30:00,2024-01-07 23:59:59,1.5
6,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
6,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
7,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
7,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
8,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
8,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
9,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
9,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
10,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
10,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
11,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
11,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
12,2024-01-07,4,2024-01-07 07:30:00,2024-01-07 10:00:00,2.5
12,2024-01-07,4,2024-01-07 20:00:00,2024-01-07 22:30:00,2.5
13,2024-01-07,4,2024-01-07 10:00:00,2024-01-07 12:30:00,2.5
13,2024-01-07,4,2024-01-07 22:30:00,2024-01-07 23:59:59,1.5
14,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
14,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
15,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
15,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
16,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
16,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
17,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
17,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
18,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
18,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
19,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
19,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
20,2024-01-07,4,2024-01-07 07:30:00,2024-01-07 10:00:00,2.5
20,2024-01-07,4,2024-01-07 20:00:00,2024-01-07 22:30:00,2.5
21,2024-01-07,4,2024-01-07 10:00:00,2024-01-07 12:30:00,2.5
21,2024-01-07,4,2024-01-07 22:30:00,2024-01-07 23:59:59,1.5
22,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
22,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
23,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
23,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
24,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
24,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
25,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
25,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
26,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
26,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
27,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
27,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
28,2024-01-07,4,2024-01-07 07:30:00,2024-01-07 10:00:00,2.5
28,2024-01-07,4,2024-01-07 20:00:00,2024-01-07 22:30:00,2.5
29,2024-01-07,4,2024-01-07 10:00:00,2024-01-07 12:30:00,2.5
29,2024-01-07,4,2024-01-07 22:30:00,2024-01-07 23:59:59,1.5
30,2024-01-07,4,2024-01-07 12:30:00,2024-01-07 15:00:00,2.5
30,2024-01-07,4,2024-01-07 00:00:00,2024-01-07 02:30:00,2.5
31,2024-01-07,4,2024-01-07 15:00:00,2024-01-07 17:30:00,2.5
31,2024-01-07,4,2024-01-07 02:30:00,2024-01-07 05:00:00,2.5
32,2024-01-07,4,2024-01-07 17:30:00,2024-01-07 20:00:00,2.5
32,2024-01-07,4,2024-01-07 05:00:00,2024-01-07 07:30:00,2.5
1,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
1,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
2,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
2,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
3,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
3,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
4,2024-01-08,4,2024-01-08 07:30:00,2024-01-08 10:00:00,2.5
4,2024-01-08,4,2024-01-08 20:00:00,2024-01-08 22:30:00,2.5
5,2024-01-08,4,2024-01-08 10:00:00,2024-01-08 12:30:00,2.5
5,2024-01-08,4,2024-01-08 22:30:00,2024-01-08 23:59:59,1.5
6,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
6,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
7,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
7,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
8,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
8,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
9,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
9,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
10,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
10,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
11,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
11,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
12,2024-01-08,4,2024-01-08 07:30:00,2024-01-08 10:00:00,2.5
12,2024-01-08,4,2024-01-08 20:00:00,2024-01-08 22:30:00,2.5
13,2024-01-08,4,2024-01-08 10:00:00,2024-01-08 12:30:00,2.5
13,2024-01-08,4,2024-01-08 22:30:00,2024-01-08 23:59:59,1.5
14,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
14,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
15,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
15,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
16,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
16,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
17,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
17,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
18,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
18,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
19,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
19,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
20,2024-01-08,4,2024-01-08 07:30:00,2024-01-08 10:00:00,2.5
20,2024-01-08,4,2024-01-08 20:00:00,2024-01-08 22:30:00,2.5
21,2024-01-08,4,2024-01-08 10:00:00,2024-01-08 12:30:00,2.5
21,2024-01-08,4,2024-01-08 22:30:00,2024-01-08 23:59:59,1.5
22,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
22,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
23,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
23,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
24,2024-01-08,4,2024-01-08 17:30:00,2024-01-08 20:00:00,2.5
24,2024-01-08,4,2024-01-08 05:00:00,2024-01-08 07:30:00,2.5
25,2024-01-08,4,2024-01-08 00:00:00,2024-01-08 02:30:00,2.5
25,2024-01-08,4,2024-01-08 12:30:00,2024-01-08 15:00:00,2.5
26,2024-01-08,4,2024-01-08 02:30:00,2024-01-08 05:00:00,2.5
26,2024-01-08,4,2024-01-08 15:00:00,2024-01-08 17:30:00,2.5
